id,date,Venue,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,won_by,player_of_the_match,most_runs,most_wkts
1,"March 22,2024","MA Chidambaram Stadium, Chennai",Banglore,Chennai,Banglore,Bat,173,6,176,4,Chennai,Wickets,Mustafizur Rahman,Anuj Rawat,Mustafizur Rahman
2,"March 23,2024","Maharaja Yadavindra Singh International Cricket Stadium, Punjab",Delhi,Punjab,Punjab,Field,174,9,177,6,Punjab,Wickets,Sam Curran,Sam Curran,Kuldeep Yadav
3,"March 23,2024","Eden Gardens, Kolkata",Kolkata,Hyderabad,Hyderabad,Field,208,7,204,7,Kolkata,Runs,Andre Russell,Andre Russell,T Natarajan
4,"March 24,2024","Sawai Mansingh Indoor Stadium, Jaipur",Rajasthan,Lucknow,Rajasthan,Bat,193,4,173,6,Rajasthan,Runs,Sanju Samson,Sanju Samson,Trent Boult
5,"March 24,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Mumbai,Mumbai,Field,168,6,162,9,Gujarat,Runs,Sai Sudharsan,Dewald Brevis,Jasprit Bumrah
6,"March 25,2024","M Chinnaswamy Stadium, Bengaluru",Punjab,Banglore,Banglore,Field,176,6,178,6,Banglore,Wickets,Virat Kohli,Virat Kohli,Harpreet Brar
7,"March 26,2024","MA Chidambaram Stadium, Chennai",Chennai,Gujarat,Gujarat,Field,206,6,143,8,Chennai,Runs,Shivam Dube,Shivam Dube,Tushar Deshpande
8,"March 27,2024","Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Mumbai,Mumbai,Field,277,3,246,5,Hyderabad,Runs,Abhishek Sharma,Heinrich Klaasen,Pat Cummins
9,"March 28,2024","Sawai Mansingh Indoor Stadium, Jaipur",Rajasthan,Delhi,Delhi,Field,185,5,173,5,Rajasthan,Runs,Riyan Parag,Riyan Parag,Yuzvendra Chahal
10,"March 29,2024","M Chinnaswamy Stadium, Bengaluru",Banglore,Kolkata,Kolkata,Field,182,6,186,3,Kolkata,Wickets,Sunil Narine,Virat Kohli ,Andre Russell
11,"March 30,2024","Ekana Sports City, Lucknow",Lucknow,Punjab,Lucknow,Bat,199,8,178,5,Lucknow,Runs,Mayank Yadav,Shikhar Dhawan,Mayank Yadav
12,"March 31,2024","Narendra Modi Stadium, Ahmedabad",Hyderabad,Gujarat,Hyderabad,Bat,162,8,168,3,Gujarat,Wickets,Mohit Sharma,Sai Sudharsan,Mohit Sharma
13,"March 31,2024","ACA-VDCA Cricket Stadium, Vishakhapatnam",Delhi,Chennai,Delhi,Bat,191,5,171,6,Delhi,Runs,Khaleel Ahmed,Jos Buttler,Mukesh Kumar
14,"April 1,2024","Wankhede Stadium, Mumbai",Mumbai,Rajasthan,Rajasthan,Field,125,9,127,4,Rajasthan,Wickets,Trent Boult,Riyan Parag ,Yuzvendra Chahal
15,"April 2,2024","M Chinnaswamy Stadium, Bengaluru",Lucknow,Banglore,Banglore,Field,181,5,153,10,Lucknow,Runs,Mayank Yadav,Quinton de Kock,Mayank Yadav
16,"April 3,2024","ACA-VDCA Cricket Stadium, Vishakhapatnam",Kolkata,Delhi,Kolkata,Bat,272,7,166,10,Kolkata,Runs,Sunil Narine,Sunil Narine,Vaibhav Arora
17,"April 4,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Punjab,Punjab,Field,199,4,200,7,Punjab,Wickets,Shashank Singh,Shubman Gill,Noor Ahmad
18,"April 5,2024","Rajiv Gandhi International Stadium, Hyderabad",Chennai,Hyderabad,Hyderabad,Field,165,5,166,4,Hyderabad,Wickets,Abhishek Sharma,Aiden Markram,Moeen Ali
19,"April 6,2024","Sawai Mansingh Indoor Stadium, Jaipur",Banglore,Rajasthan,Rajasthan,Field,183,3,189,4,Rajasthan,Wickets,Jos Buttler,Virat Kohli,Reece Topley
20,"April 7,2024","Wankhede Stadium, Mumbai",Mumbai,Delhi,Delhi,Field,234,5,205,8,Mumbai,Runs,Romario Shepherd,Tristan Stubbs ,Gerald Coetzee
21,"April 7,2024","Ekana Sports City, Lucknow",Lucknow,Gujarat,Lucknow,Bat,163,5,130,10,Lucknow,Runs,Yash Thakur,Marcus Stoinis,Yash Thakur
22,"April 8,2024","MA Chidambaram Stadium, Chennai",Kolkata,Chennai,Chennai,Field,137,9,141,3,Chennai,Wickets,Ravindra Jadeja,Ruturaj Gaikwad,Ravindra Jadeja
23,"April 9,2024","Punjab Cricket Association Is Bindra Stadium, Mohali",Hyderabad,Punjab,Punjab,Field,182,9,180,6,Hyderabad,Runs,Nitish Kumar Reddy,Nitish Kumar Reddy,Arshdeep Singh
24,"April 10,2024","Sawai Mansingh Indoor Stadium, Jaipur",Rajasthan,Gujarat,Gujarat,Field,196,3,199,7,Gujarat,Wickets,Rashid Khan,Riyan Parag,Kuldeep Sen
25,"April 11,2024","Wankhede Stadium, Mumbai",Banglore,Mumbai,Mumbai,Field,196,8,199,3,Mumbai,Wickets,Jasprit Bumrah,Ishan Kishan,Jasprit Bumrah
26,"April 12,2024","Ekana Sports City, Lucknow",Lucknow,Delhi,Lucknow,Bat,167,7,170,4,Delhi,Wickets,Kuldeep Yadav,Ayush Badoni,Kuldeep Yadav
27,"April 13,2024","Punjab Cricket Association Is Bindra Stadium, Mohali",Punjab,Rajasthan,Rajasthan,Field,147,8,152,7,Rajasthan,Wickets,Shimron Hetmyer,Yashasvi Jaiswal ,Kagiso Rabada
28,"April 14,2024","Eden Gardens, Kolkata",Lucknow,Kolkata,Kolkata,Field,161,7,162,2,Kolkata,Wickets,Phil Salt,Phil Salt,Mitchell Starc
29,"April 14,2024","Wankhede Stadium, Mumbai",Chennai,Mumbai,Mumbai,Field,206,4,186,6,Chennai,Runs,Matheesha Pathirana,Rohit Sharma,Matheesha Pathirana
30,"April 15,2024","M Chinnaswamy Stadium, Bengaluru",Hyderabad,Banglore,Banglore,Field,187,3,262,7,Hyderabad,Wickets,Travis Head,Travis Head,Pat Cummins
31,"April 16,2024","Narendra Modi Stadium, Ahmedabad",Kolkata,Rajasthan,Rajasthan,Field,223,6,224,8,Rajasthan,Wickets,Jos Buttler,Sunil Narine ,Sunil Narine 
32,"April 17,2024","Eden Gardens, Kolkata",Gujarat,Delhi,Delhi,Field,89,10,92,4,Delhi,Wickets,Rishabh Pant,Rashid Khan ,Mukesh Kumar
33,"April 18,2024","Punjab Cricket Association Is Bindra Stadium, Mohali",Mumbai,Punjab,Punjab,Field,192,7,183,10,Mumbai,Runs,Jasprit Bumrah,Suryakumar Yadav,Jasprit Bumrah
34,"April 19,2024","Ekana Sports City, Lucknow",Chennai,Lucknow,Lucknow,Field,176,6,180,2,Lucknow,Wickets,KL Rahul,KL Rahul,Krunal Pandya
35,"April 20,2024","Arun Jaitley Stadium, Delhi",Hyderabad,Delhi,Delhi,Field,266,7,199,10,Hyderabad,Runs,Travis Head,Travis Head,T Natarajan
36,"April 21,2024","Eden Gardens, Kolkata",Kolkata,Banglore,Banglore,Field,222,6,221,10,Kolkata,Runs,Andre Russell,Will Jacks ,Andre Russell
37,"April 21,2024","Punjab Cricket Association Is Bindra Stadium, Mohali",Punjab,Gujarat,Punjab,Bat,142,10,146,7,Gujarat,Wickets,Sai Kishore,Rahul Tewatia,Sai Kishore
38,"April 22,2024","Sawai Mansingh Indoor Stadium, Jaipur",Mumbai,Rajasthan,Mumbai,Bat,179,9,183,1,Rajasthan,Wickets,Sandeep Sharma,Yashasvi Jaiswal ,Sandeep Sharma
39,"April 23,2024","MA Chidambaram Stadium, Chennai",Chennai,Lucknow,Lucknow,Field,210,4,213,4,Lucknow,Wickets,Marcus Stoinis,Marcus Stoinis,Matheesha Pathirana
40,"April 24,2024","Arun Jaitley Stadium, Delhi",Delhi,Gujarat,Gujarat,Field,224,4,220,8,Delhi,Runs,Rishabh Pant,Rishabh Pant,Sandeep Warrier
41,"April 25,2024","Rajiv Gandhi International Stadium, Hyderabad",Banglore,Hyderabad,Banglore,Bat,206,7,171,8,Banglore,Runs,Rajat Patidar,Virat Kohli,Jaydev Unadkat
42,"April 26,2024","Eden Gardens, Kolkata",Kolkata,Punjab,Punjab,Field,261,6,262,2,Punjab,Wickets,Jonny Bairstow,Jonny Bairstow,Arshdeep Singh
43,"April 27,2024","Arun Jaitley Stadium, Delhi",Delhi,Mumbai,Mumbai,Field,257,4,247,9,Delhi,Runs,Jake Fraser-McGurk,Jake Fraser-McGurk,Rasikh Salam
44,"April 27,2024","Ekana Sports City, Lucknow",Lucknow,Rajasthan,Rajasthan,Field,196,5,199,3,Rajasthan,Wickets,Sanju Samson,KL Rahul,Sandeep Sharma
45,"April 28,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Banglore,Banglore,Field,200,3,206,1,Banglore,Wickets,Will Jacks,Will Jacks,Swapnil Singh
46,"April 28,2024","MA Chidambaram Stadium, Chennai",Chennai,Hyderabad,Hyderabad,Field,212,3,134,10,Chennai,Runs,Ruturaj Gaikwad,Ruturaj Gaikwad,Tushar Deshpande
47,"April 29,2024","Eden Gardens, Kolkata",Delhi,Kolkata,Delhi,Bat,153,9,157,3,Kolkata,Wickets,Varun Chakravarthy,Phil Salt,Varun Chakravarthy
48,"April 30,2024","Ekana Sports City, Lucknow",Mumbai,Lucknow,Lucknow,Field,144,7,145,6,Lucknow,Wickets,Marcus Stoinis,Marcus Stoinis,Hardik Pandya
